2000000048284,1       
2000000049861,1       
2000000048765,1       
2000000048727,1       
2000000048741,1       
2000000048758,1       
2000000048734,1       
2000000004891,1       
2000000004907,1       
2000000048178,1       
2000000048208,1       
2000000048215,1       
2000000048314,1       
2000000048307,1       
2000000004754,1       
2000000004860,1       
2000000004853,1       
2000000004778,1       
2000000004785,1       
2000000048826,1       
2000000048222,1       
2000000048239,1       
2000000048291,1       
2000000004877,1       
2000000004884,1       
2000000009094,2       
2000000009117,1       
2000000009070,1       
2000000009100,1       
2000000004815,1       
2000000004808,1       
